Meadow,Site,Elevation,Species1,Species2,Schoener
o,3,1612.7,Silene vulgaris,ZDensityHymenopteraTOTAL,0.484509464
i,6,702.2,Plantago media,ZDensityHymenopteraTOTAL,0.485093151
a,3,949.8,Pimpinella sp#,ZDensityHymenopteraTOTAL,0.486515268
n,4,1420,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.486712032
i,5,684.5,Achillea millefolium,ZDensityHymenopteraTOTAL,0.486789901
a,6,981.9,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.487289026
i,2,737.4,Anthericum ramosum,ZDensityHymenopteraTOTAL,0.487486676
a,4,1002.8,Prunella sp#,ZDensityHymenopteraTOTAL,0.488172804
a,6,981.9,Cirsium acaule,ZDensityHymenopteraTOTAL,0.488198072
i,3,711.5,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.489128482
a,4,1002.8,Daucus carota,ZDensityHymenopteraTOTAL,0.489860093
a,1,1020.6,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.490747228
a,2,984.9,Trifolium montana,ZDensityHymenopteraTOTAL,0.491163399
o,4,1576.2,Carduus defloratus,ZDensityHymenopteraTOTAL,0.491530178
n,1,1390.3,Prunella sp#,ZDensityHymenopteraTOTAL,0.492366697
i,4,702.4,Galium verum,ZDensityHymenopteraTOTAL,0.492614733
i,2,737.4,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.492812013
a,5,1001,Helianthemum nummularium,ZDensityHymenopteraTOTAL,0.49299996
a,1,1020.6,Cirsium acaule,ZDensityHymenopteraTOTAL,0.493130042
o,3,1612.7,Achillea millefolium,ZDensityHymenopteraTOTAL,0.493497915
u,2,1749.2,Hypericum sp#,ZDensityHymenopteraTOTAL,0.494225488
i,5,684.5,Plantago media,ZDensityHymenopteraTOTAL,0.49457251
a,3,949.8,Veronica spicata,ZDensityHymenopteraTOTAL,0.494915949
i,6,702.2,Polygala comosa,ZDensityHymenopteraTOTAL,0.49515977
a,2,984.9,Anthericum ramosum,ZDensityHymenopteraTOTAL,0.496503804
i,1,766.3,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.497197452
i,4,702.4,Crepis sp#,ZDensityHymenopteraTOTAL,0.497746466
n,5,1398.6,Globularia cardiflora,ZDensityHymenopteraTOTAL,0.497865927
i,4,702.4,Clinopodium vulgare,ZDensityHymenopteraTOTAL,0.498007401
a,3,949.8,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.498330698
a,5,1001,Galium sp#,ZDensityHymenopteraTOTAL,0.499587759
a,4,1002.8,Salvia pratensis,ZDensityHymenopteraTOTAL,0.49979756
i,2,737.4,Carum carvi,ZDensityHymenopteraTOTAL,0.5
i,2,737.4,Gentiana verna,ZDensityHymenopteraTOTAL,0.5
i,2,737.4,Platanthera chlorantha,ZDensityHymenopteraTOTAL,0.5
i,2,737.4,Polygala comosa,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Fragaria sp#,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Gentiana verna,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Gymnadenia conopsea,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Neottia ovata,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Phyteuma orbiculare,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Polygala alpestris,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Polygala comosa,ZDensityHymenopteraTOTAL,0.5
n,5,1398.6,Saponaria ocymoides?,ZDensityHymenopteraTOTAL,0.5
a,1,1020.6,Euphorbia cyparissias,ZDensityHymenopteraTOTAL,0.5
a,3,949.8,Cerastium sp#,ZDensityHymenopteraTOTAL,0.5
a,3,949.8,Urtica dioica,ZDensityHymenopteraTOTAL,0.5
a,4,1002.8,Bellis perennis,ZDensityHymenopteraTOTAL,0.5
a,4,1002.8,Polygala vulgaris,ZDensityHymenopteraTOTAL,0.5
a,4,1002.8,Rhinanthus minor,ZDensityHymenopteraTOTAL,0.5
a,4,1002.8,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.5
a,4,1002.8,Vincetoxicum hirundinaria,ZDensityHymenopteraTOTAL,0.5
a,5,1001,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.5
a,5,1001,Euphorbia cyparissias,ZDensityHymenopteraTOTAL,0.5
a,5,1001,Lotus maritimus,ZDensityHymenopteraTOTAL,0.5
a,5,1001,Polygala alpestris,ZDensityHymenopteraTOTAL,0.5
i,1,766.3,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.5
i,1,766.3,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.5
i,1,766.3,Ophrus apifera,ZDensityHymenopteraTOTAL,0.5
i,1,766.3,Saponaria ocymoides?,ZDensityHymenopteraTOTAL,0.5
i,3,711.5,Potentilla sp#,ZDensityHymenopteraTOTAL,0.5
i,3,711.5,Primula veris,ZDensityHymenopteraTOTAL,0.5
i,3,711.5,Veronica sp#,ZDensityHymenopteraTOTAL,0.5
i,5,684.5,Lotus maritimus,ZDensityHymenopteraTOTAL,0.5
i,5,684.5,Medicago minima,ZDensityHymenopteraTOTAL,0.5
i,6,702.2,Anacamptis pyramidalis,ZDensityHymenopteraTOTAL,0.5
i,6,702.2,Ligustrum vulgare,ZDensityHymenopteraTOTAL,0.5
i,6,702.2,Viola sp#,ZDensityHymenopteraTOTAL,0.5
i,7,648.5,Geranium sp#,ZDensityHymenopteraTOTAL,0.5
i,7,648.5,Platanthera chlorantha,ZDensityHymenopteraTOTAL,0.5
i,7,648.5,Vincetoxicum hirundinaria,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Ajuga pyramidalis,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Cephalanthera longifolia,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Euphorbia cyparissias,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Fragaria sp#,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Galium sp#,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Maianthemum bifolium,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Neottia ovata,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Potentilla sp#,ZDensityHymenopteraTOTAL,0.5
n,1,1390.3,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.5
n,2,1405.5,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
n,2,1405.5,Euphorbia cyparissias,ZDensityHymenopteraTOTAL,0.5
n,2,1405.5,Fragaria sp#,ZDensityHymenopteraTOTAL,0.5
n,2,1405.5,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.5
n,2,1405.5,Leucanthemum vulgare,ZDensityHymenopteraTOTAL,0.5
n,2,1405.5,Myosotes sp#,ZDensityHymenopteraTOTAL,0.5
n,2,1405.5,Neottia ovata,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Bistorta vivipara,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Fragaria sp#,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Myosotes sp#,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Polygala alpestris,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Rumex sp#,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Trolleis europaeus,ZDensityHymenopteraTOTAL,0.5
n,3,1407.7,Urtica dioica,ZDensityHymenopteraTOTAL,0.5
n,4,1420,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
n,4,1420,Gymnadenia conopsea,ZDensityHymenopteraTOTAL,0.5
n,4,1420,Myosotes sp#,ZDensityHymenopteraTOTAL,0.5
n,4,1420,Phyteuma orbiculare,ZDensityHymenopteraTOTAL,0.5
n,4,1420,Polygala alpestris,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Bellis perennis,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Cephalanthera longifolia,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Euphorbia cyparissias,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Neottia ovata,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Orchis mascula,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Trifolium badium,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Trolleis europaeus,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Vaccinium vitis-idaea,ZDensityHymenopteraTOTAL,0.5
o,3,1612.7,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Arnica montana,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Aster bellidiastrum,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Cephalanthera longifolia,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Ophrus insectifera,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Orchis mascula,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Phyteuma orbiculare,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Sanguisorba minor,ZDensityHymenopteraTOTAL,0.5
o,4,1576.2,Tragopodon pratensis,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Anemone narcissiflora,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Apiaceae sp#,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Aster bellidiastrum,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Euphorbia cyparissias,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Fragaria sp#,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Galium verum,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Globularia nudicaulis,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Gymnadenia conopsea,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Lathyrus sp#,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Myosotes sp#,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Polygala comosa,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Polygala vulgaris,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Potentilla sp#,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Silene dioica,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Trolleis europaeus,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Urtica dioica,ZDensityHymenopteraTOTAL,0.5
u,1,1745.8,Viola sp#,ZDensityHymenopteraTOTAL,0.5
a,2,984.9,Thesium sp#,ZDensityHymenopteraTOTAL,0.5
i,4,702.4,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.5
i,4,702.4,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.5
i,4,702.4,Sanguisorba minor,ZDensityHymenopteraTOTAL,0.5
i,4,702.4,Sisymbrium officinale,ZDensityHymenopteraTOTAL,0.5
i,4,702.4,Veronica sp#,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Ajuga reptans,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Coeglossum viride,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Euphorbia cyparissias,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Galium verum,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Gymnadenia conopsea,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Hippocrepis comosa,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Polygala vulgaris,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Potentilla sp#,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.5
u,2,1749.2,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.500621891
u,1,1745.8,Lotus corniculatus,ZDensityHymenopteraTOTAL,0.501339807
n,1,1390.3,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.501476799
i,5,684.5,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.50179881
i,5,684.5,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.502166171
a,3,949.8,Trifolium montana,ZDensityHymenopteraTOTAL,0.502190959
i,1,766.3,Lotus maritimus,ZDensityHymenopteraTOTAL,0.502287041
i,5,684.5,Knautia/ Scabiosa,ZDensityHymenopteraTOTAL,0.502416686
a,6,981.9,Polygala comosa,ZDensityHymenopteraTOTAL,0.502544529
a,4,1002.8,Gentiana verna,ZDensityHymenopteraTOTAL,0.50347581
n,4,1420,Plantago media,ZDensityHymenopteraTOTAL,0.503765847
o,4,1576.2,Viola sp#,ZDensityHymenopteraTOTAL,0.504075054
i,3,711.5,Knautia/ Scabiosa,ZDensityHymenopteraTOTAL,0.504163068
a,5,1001,Plantago media,ZDensityHymenopteraTOTAL,0.50477802
n,5,1398.6,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.504950495
n,2,1405.5,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.504950495
i,4,702.4,Ononis spinosa,ZDensityHymenopteraTOTAL,0.504953032
n,1,1390.3,Centaurea sp#,ZDensityHymenopteraTOTAL,0.505217382
a,2,984.9,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.505723175
n,5,1398.6,Teurium montanum,ZDensityHymenopteraTOTAL,0.506270864
i,3,711.5,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.50731997
n,2,1405.5,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.507444908
u,1,1745.8,Cerastium sp#,ZDensityHymenopteraTOTAL,0.5078125
i,2,737.4,Galium sp#,ZDensityHymenopteraTOTAL,0.508057744
i,1,766.3,Leucanthemum vulgare,ZDensityHymenopteraTOTAL,0.50850029
n,3,1407.7,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.509803922
a,5,1001,Silene vulgaris,ZDensityHymenopteraTOTAL,0.509934359
n,5,1398.6,Salvia pratensis,ZDensityHymenopteraTOTAL,0.510313415
a,4,1002.8,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.510468123
i,3,711.5,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.511248186
n,3,1407.7,Achillea millefolium,ZDensityHymenopteraTOTAL,0.51138624
a,3,949.8,Galium verum,ZDensityHymenopteraTOTAL,0.511424922
n,2,1405.5,Acinos alpinus,ZDensityHymenopteraTOTAL,0.511458067
i,7,648.5,Carlina vulgaris,ZDensityHymenopteraTOTAL,0.511627907
i,4,702.4,Bellis perennis,ZDensityHymenopteraTOTAL,0.511635354
i,4,702.4,Cichorium intybus,ZDensityHymenopteraTOTAL,0.511635354
i,3,711.5,Geranium sp#,ZDensityHymenopteraTOTAL,0.511662865
a,4,1002.8,Thymus sp#,ZDensityHymenopteraTOTAL,0.511677761
n,3,1407.7,Silene vulgaris,ZDensityHymenopteraTOTAL,0.512097445
o,3,1612.7,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.512152577
u,2,1749.2,Euphrasia sp,ZDensityHymenopteraTOTAL,0.512159165
i,2,737.4,Potentilla erecta,ZDensityHymenopteraTOTAL,0.51257498
o,3,1612.7,Campanula sp#,ZDensityHymenopteraTOTAL,0.513455294
i,5,684.5,Veronica spicata,ZDensityHymenopteraTOTAL,0.51361465
a,4,1002.8,Helianthemum nummularium,ZDensityHymenopteraTOTAL,0.514490875
o,4,1576.2,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.514508148
u,2,1749.2,Trolleis europaeus,ZDensityHymenopteraTOTAL,0.514563107
i,4,702.4,Trifolium pratense,ZDensityHymenopteraTOTAL,0.514649812
a,5,1001,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.514924621
a,6,981.9,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.516129032
n,4,1420,Bellis perennis,ZDensityHymenopteraTOTAL,0.516129032
u,2,1749.2,Veronica chamaedris,ZDensityHymenopteraTOTAL,0.516129032
a,3,949.8,Rubus sp#,ZDensityHymenopteraTOTAL,0.516669904
a,1,1020.6,Gentiana verna,ZDensityHymenopteraTOTAL,0.516733895
a,3,949.8,Trifolium pratense,ZDensityHymenopteraTOTAL,0.516842926
i,5,684.5,Thymus sp#,ZDensityHymenopteraTOTAL,0.516948255
o,4,1576.2,Galium verum,ZDensityHymenopteraTOTAL,0.516990592
a,4,1002.8,Geranium pusillum,ZDensityHymenopteraTOTAL,0.517156897
i,3,711.5,Pimpinella sp#,ZDensityHymenopteraTOTAL,0.517355935
a,4,1002.8,Pimpinella sp#,ZDensityHymenopteraTOTAL,0.517923402
n,4,1420,Galium verum,ZDensityHymenopteraTOTAL,0.51821406
i,2,737.4,Plantago media,ZDensityHymenopteraTOTAL,0.518304287
n,1,1390.3,Bellis perennis,ZDensityHymenopteraTOTAL,0.519230769
a,4,1002.8,Veronica teucrium,ZDensityHymenopteraTOTAL,0.519230769
a,5,1001,Teucrium chamaedris,ZDensityHymenopteraTOTAL,0.519251695
a,6,981.9,Teucrium chamaedris,ZDensityHymenopteraTOTAL,0.519326306
i,4,702.4,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.520239112
i,6,702.2,Pimpinella sp#,ZDensityHymenopteraTOTAL,0.52032856
n,2,1405.5,Cerastium sp#,ZDensityHymenopteraTOTAL,0.520395879
a,4,1002.8,Agrimonia eupatoria,ZDensityHymenopteraTOTAL,0.520857398
i,7,648.5,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.52101292
a,4,1002.8,Cirsium arvense,ZDensityHymenopteraTOTAL,0.521019952
o,3,1612.7,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.521357467
i,2,737.4,Lotus corniculatus,ZDensityHymenopteraTOTAL,0.521663631
a,6,981.9,Daucus carota,ZDensityHymenopteraTOTAL,0.523300911
i,3,711.5,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.523809524
n,1,1390.3,Geranium sylvaticum,ZDensityHymenopteraTOTAL,0.523809524
n,3,1407.7,Phyteuma orbiculare,ZDensityHymenopteraTOTAL,0.523809524
i,5,684.5,Polygala comosa,ZDensityHymenopteraTOTAL,0.523809524
i,4,702.4,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.524648707
o,3,1612.7,Pimpinella sp#,ZDensityHymenopteraTOTAL,0.524878593
a,1,1020.6,Potentilla sp#,ZDensityHymenopteraTOTAL,0.524895278
n,5,1398.6,Thymus sp#,ZDensityHymenopteraTOTAL,0.525472952
n,4,1420,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.525683849
a,1,1020.6,Pastinaca sativa,ZDensityHymenopteraTOTAL,0.52582416
n,5,1398.6,Centaurea sp#,ZDensityHymenopteraTOTAL,0.525910733
a,6,981.9,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.52592727
a,3,949.8,Potentilla erecta,ZDensityHymenopteraTOTAL,0.525972183
n,3,1407.7,Bellis perennis,ZDensityHymenopteraTOTAL,0.526442939
a,1,1020.6,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.526677354
i,4,702.4,Carum carvi,ZDensityHymenopteraTOTAL,0.526811744
o,4,1576.2,Alchemilla sp#,ZDensityHymenopteraTOTAL,0.527082032
i,3,711.5,Campanula sp#,ZDensityHymenopteraTOTAL,0.527179046
n,4,1420,Carduus defloratus,ZDensityHymenopteraTOTAL,0.527399115
i,2,737.4,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.527456963
a,6,981.9,Potentilla sp#,ZDensityHymenopteraTOTAL,0.528301887
a,5,1001,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.528301887
u,2,1749.2,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.528301887
u,2,1749.2,Myosotes sp#,ZDensityHymenopteraTOTAL,0.528301887
n,3,1407.7,Lotus corniculatus,ZDensityHymenopteraTOTAL,0.528466129
u,1,1745.8,Euphrasia sp,ZDensityHymenopteraTOTAL,0.52950876
a,4,1002.8,Plantago media,ZDensityHymenopteraTOTAL,0.529780345
i,5,684.5,Helianthemum nummularium,ZDensityHymenopteraTOTAL,0.530782465
n,2,1405.5,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.531615925
n,5,1398.6,Bellis perennis,ZDensityHymenopteraTOTAL,0.531628608
a,1,1020.6,Geranium pusillum,ZDensityHymenopteraTOTAL,0.531846834
i,3,711.5,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.531931512
n,3,1407.7,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.53271028
a,2,984.9,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.533083492
n,5,1398.6,Medicago lupulina,ZDensityHymenopteraTOTAL,0.533848874
n,1,1390.3,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.533854681
n,5,1398.6,Sedum album,ZDensityHymenopteraTOTAL,0.533917323
i,4,702.4,Medicago sativa,ZDensityHymenopteraTOTAL,0.534225716
n,5,1398.6,Acinos alpinus,ZDensityHymenopteraTOTAL,0.53492759
a,5,1001,Medicago lupulina,ZDensityHymenopteraTOTAL,0.535332767
i,7,648.5,Plantago media,ZDensityHymenopteraTOTAL,0.535888602
n,3,1407.7,Trifolium repens,ZDensityHymenopteraTOTAL,0.536572253
o,3,1612.7,Phyteuma orbiculare,ZDensityHymenopteraTOTAL,0.536783355
n,3,1407.7,Ranunculus sp#,ZDensityHymenopteraTOTAL,0.536827588
i,5,684.5,Prunella sp#,ZDensityHymenopteraTOTAL,0.536887191
i,4,702.4,Onobrychis vicifolia,ZDensityHymenopteraTOTAL,0.536927573
a,2,984.9,Teucrium chamaedris,ZDensityHymenopteraTOTAL,0.537103507
a,4,1002.8,Trifolium repens,ZDensityHymenopteraTOTAL,0.53728371
i,1,766.3,Galium verum,ZDensityHymenopteraTOTAL,0.538520955
i,7,648.5,Leucanthemum vulgare,ZDensityHymenopteraTOTAL,0.538628619
n,5,1398.6,Silene nutans,ZDensityHymenopteraTOTAL,0.539170507
a,1,1020.6,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.540580974
a,4,1002.8,Galium verum,ZDensityHymenopteraTOTAL,0.542335595
i,1,766.3,Carduus nutans,ZDensityHymenopteraTOTAL,0.542522293
i,2,737.4,Globularia nudicaulis,ZDensityHymenopteraTOTAL,0.542723031
n,2,1405.5,Cirsium arvense,ZDensityHymenopteraTOTAL,0.542882668
i,2,737.4,Knautia/ Scabiosa,ZDensityHymenopteraTOTAL,0.543815524
i,1,766.3,Potentilla sp#,ZDensityHymenopteraTOTAL,0.543972206
a,6,981.9,Euphrasia sp,ZDensityHymenopteraTOTAL,0.544108594
o,4,1576.2,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.544815755
i,1,766.3,Helianthemum nummularium,ZDensityHymenopteraTOTAL,0.544973967
a,6,981.9,Campanula sp#,ZDensityHymenopteraTOTAL,0.545347146
a,3,949.8,Lotus maritimus,ZDensityHymenopteraTOTAL,0.545454545
i,6,702.2,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.545454545
n,2,1405.5,Phyteuma orbiculare,ZDensityHymenopteraTOTAL,0.545454545
a,1,1020.6,Hypericum sp#,ZDensityHymenopteraTOTAL,0.545574961
i,5,684.5,Salvia pratensis,ZDensityHymenopteraTOTAL,0.545773978
i,4,702.4,Silene vulgaris,ZDensityHymenopteraTOTAL,0.545999875
n,4,1420,Euphrasia sp,ZDensityHymenopteraTOTAL,0.546490583
o,3,1612.7,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.546512644
a,5,1001,Echium vulgare,ZDensityHymenopteraTOTAL,0.546574598
i,5,684.5,Teurium montanum,ZDensityHymenopteraTOTAL,0.546704632
n,2,1405.5,Potentilla sp#,ZDensityHymenopteraTOTAL,0.547197795
a,4,1002.8,Euphrasia sp,ZDensityHymenopteraTOTAL,0.547235353
n,3,1407.7,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.54840307
a,4,1002.8,Crepis/Hieracium/Leontodon,ZDensityHymenopteraTOTAL,0.54865796
i,7,648.5,Trifolium montana,ZDensityHymenopteraTOTAL,0.548978154
i,3,711.5,Cerastium sp#,ZDensityHymenopteraTOTAL,0.549373671
n,1,1390.3,Polygala alpestris,ZDensityHymenopteraTOTAL,0.549382316
a,6,981.9,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.549756277
a,3,949.8,Ononis spinosa,ZDensityHymenopteraTOTAL,0.550486414
n,3,1407.7,Medicago lupulina,ZDensityHymenopteraTOTAL,0.550515804
o,4,1576.2,Bellis perennis,ZDensityHymenopteraTOTAL,0.550630557
a,1,1020.6,Campanula sp#,ZDensityHymenopteraTOTAL,0.55102518
i,7,648.5,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.551138497
a,3,949.8,Salvia pratensis,ZDensityHymenopteraTOTAL,0.552007905
i,3,711.5,Helianthemum nummularium,ZDensityHymenopteraTOTAL,0.552992252
i,2,737.4,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.55340663
o,3,1612.7,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.553571429
u,2,1749.2,Bistorta vivipara,ZDensityHymenopteraTOTAL,0.553640443
a,6,981.9,Achillea millefolium,ZDensityHymenopteraTOTAL,0.553646865
n,3,1407.7,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.554000814
n,3,1407.7,Prunella sp#,ZDensityHymenopteraTOTAL,0.554087233
a,3,949.8,Clinopodium vulgare,ZDensityHymenopteraTOTAL,0.554402512
n,5,1398.6,Plantago lanceolata,ZDensityHymenopteraTOTAL,0.554860518
i,1,766.3,Ranunculus sp#,ZDensityHymenopteraTOTAL,0.555983178
a,5,1001,Medicago sativa,ZDensityHymenopteraTOTAL,0.556431292
i,2,737.4,Ranunculus sp#,ZDensityHymenopteraTOTAL,0.556465409
i,2,737.4,Asperula cynanchica,ZDensityHymenopteraTOTAL,0.556904646
a,4,1002.8,Knautia/ Scabiosa,ZDensityHymenopteraTOTAL,0.557201197
n,4,1420,Mycelis muralis,ZDensityHymenopteraTOTAL,0.557271039
n,1,1390.3,Alchemilla sp#,ZDensityHymenopteraTOTAL,0.557522124
a,5,1001,Vincetoxicum hirundinaria,ZDensityHymenopteraTOTAL,0.557692673
o,3,1612.7,Galium verum,ZDensityHymenopteraTOTAL,0.558823529
n,2,1405.5,Bellis perennis,ZDensityHymenopteraTOTAL,0.558823529
u,1,1745.8,Potentilla erecta,ZDensityHymenopteraTOTAL,0.558958724
i,6,702.2,Thymus sp#,ZDensityHymenopteraTOTAL,0.560104259
i,7,648.5,Galium verum,ZDensityHymenopteraTOTAL,0.56071326
o,3,1612.7,Galium sp#,ZDensityHymenopteraTOTAL,0.560790158
