Meadow,Site,Elevation,Species1,Species2,Schoener
n,1,1390.3,Cirsium arvense,ZDensityHymenopteraTOTAL,0.089410236
n,1,1390.3,Teurium montanum,ZDensityHymenopteraTOTAL,0.089410236
i,1,766.3,Geranium sp#,ZDensityHymenopteraTOTAL,0.089426752
i,1,766.3,Stachys officinalis,ZDensityHymenopteraTOTAL,0.089426752
a,2,984.9,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.09215938
n,5,1398.6,Solanum dulgamara,ZDensityHymenopteraTOTAL,0.095259807
n,2,1405.5,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.095294818
n,2,1405.5,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.095294818
n,2,1405.5,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.095294818
i,1,766.3,Vicia sepium,ZDensityHymenopteraTOTAL,0.099639066
n,2,1405.5,Silene dioica,ZDensityHymenopteraTOTAL,0.100059559
n,2,1405.5,Veronica teucrium,ZDensityHymenopteraTOTAL,0.100059559
i,2,737.4,Odontites luteus,ZDensityHymenopteraTOTAL,0.100291918
a,5,1001,Potentilla sp#,ZDensityHymenopteraTOTAL,0.101212592
i,4,702.4,Geranium sp#,ZDensityHymenopteraTOTAL,0.102476516
i,4,702.4,Malva neglecta,ZDensityHymenopteraTOTAL,0.102476516
a,2,984.9,Teurium montanum,ZDensityHymenopteraTOTAL,0.102822449
i,7,648.5,Hypericum sp#,ZDensityHymenopteraTOTAL,0.103359173
o,4,1576.2,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.104005109
o,4,1576.2,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.104005109
n,1,1390.3,Vicia cracca,ZDensityHymenopteraTOTAL,0.104311942
i,1,766.3,Potentilla erecta,ZDensityHymenopteraTOTAL,0.104356688
i,5,684.5,Carlina acaulis,ZDensityHymenopteraTOTAL,0.104559357
i,2,737.4,Chenopodium sp#,ZDensityHymenopteraTOTAL,0.10557044
i,2,737.4,Pulsatilla sp#,ZDensityHymenopteraTOTAL,0.10557044
i,7,648.5,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.106230261
i,6,702.2,Veronica teucrium,ZDensityHymenopteraTOTAL,0.107555898
o,3,1612.7,Orchis ustulata,ZDensityHymenopteraTOTAL,0.108211927
o,3,1612.7,Peucedanum sp#,ZDensityHymenopteraTOTAL,0.108211927
o,3,1612.7,Sanguisorba minor,ZDensityHymenopteraTOTAL,0.108211927
a,1,1020.6,Cerastium sp#,ZDensityHymenopteraTOTAL,0.10952625
a,3,949.8,Apiaceae sp#,ZDensityHymenopteraTOTAL,0.110701107
a,3,949.8,Ligustrum vulgare,ZDensityHymenopteraTOTAL,0.110701107
a,3,949.8,Veronica teucrium,ZDensityHymenopteraTOTAL,0.110701107
a,1,1020.6,Galium sp#,ZDensityHymenopteraTOTAL,0.110772095
u,2,1749.2,Gentiana sp#,ZDensityHymenopteraTOTAL,0.112080947
a,4,1002.8,Geranium sp#,ZDensityHymenopteraTOTAL,0.114598403
a,4,1002.8,Melampyrum sylvaticum,ZDensityHymenopteraTOTAL,0.114598403
u,1,1745.8,Lamium album,ZDensityHymenopteraTOTAL,0.114982578
u,1,1745.8,Silene nutans,ZDensityHymenopteraTOTAL,0.114982578
i,4,702.4,Leucanthemum vulgare,ZDensityHymenopteraTOTAL,0.11528608
i,4,702.4,Senecio sp#,ZDensityHymenopteraTOTAL,0.11528608
i,2,737.4,Arabis/Arabidopsis,ZDensityHymenopteraTOTAL,0.116923928
a,3,949.8,Carum carvi,ZDensityHymenopteraTOTAL,0.120590406
n,1,1390.3,Crepis sp# 2,ZDensityHymenopteraTOTAL,0.120703819
i,6,702.2,Allium carinatum,ZDensityHymenopteraTOTAL,0.121434079
u,2,1749.2,Rhinanthus minor,ZDensityHymenopteraTOTAL,0.122588536
a,1,1020.6,Rosa sp#,ZDensityHymenopteraTOTAL,0.122953322
i,2,737.4,Taraxacum sp#,ZDensityHymenopteraTOTAL,0.124499686
i,6,702.2,Galium sp#,ZDensityHymenopteraTOTAL,0.12577101
o,4,1576.2,Veronica officinalis,ZDensityHymenopteraTOTAL,0.126852838
a,1,1020.6,Conyza sp#,ZDensityHymenopteraTOTAL,0.130320112
a,1,1020.6,Polygonum aviculare,ZDensityHymenopteraTOTAL,0.130320112
a,4,1002.8,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.130969604
u,1,1745.8,Carlina acaulis,ZDensityHymenopteraTOTAL,0.131707317
u,1,1745.8,Gentiana sp#,ZDensityHymenopteraTOTAL,0.131707317
u,1,1745.8,Vicia cracca,ZDensityHymenopteraTOTAL,0.131707317
n,4,1420,Buphthalmum salicifolium,ZDensityHymenopteraTOTAL,0.132707412
a,3,949.8,Potentilla sp#,ZDensityHymenopteraTOTAL,0.132841328
i,6,702.2,Hypericum sp#,ZDensityHymenopteraTOTAL,0.134444873
i,6,702.2,Sanguisorba minor,ZDensityHymenopteraTOTAL,0.134444873
i,6,702.2,Vicia sepium,ZDensityHymenopteraTOTAL,0.134444873
o,4,1576.2,Leucanthemum vulgare,ZDensityHymenopteraTOTAL,0.135936502
i,4,702.4,Prunella sp#,ZDensityHymenopteraTOTAL,0.135949378
o,4,1576.2,Medicago sativa,ZDensityHymenopteraTOTAL,0.136240611
o,4,1576.2,Teurium montanum,ZDensityHymenopteraTOTAL,0.136240611
i,4,702.4,Dianthus sp#,ZDensityHymenopteraTOTAL,0.136635354
i,1,766.3,Sanguisorba minor,ZDensityHymenopteraTOTAL,0.137928757
i,5,684.5,Polygala vulgaris,ZDensityHymenopteraTOTAL,0.139412476
i,5,684.5,Spiranthes spiralis,ZDensityHymenopteraTOTAL,0.139412476
i,5,684.5,Cirsium acaule,ZDensityHymenopteraTOTAL,0.140408279
o,3,1612.7,Teucrium chamaedris,ZDensityHymenopteraTOTAL,0.14100342
i,4,702.4,Odontites luteus,ZDensityHymenopteraTOTAL,0.143467122
o,3,1612.7,Carlina acaulis,ZDensityHymenopteraTOTAL,0.144282569
o,3,1612.7,Potentilla sp#,ZDensityHymenopteraTOTAL,0.144282569
a,6,981.9,Anthericum ramosum,ZDensityHymenopteraTOTAL,0.145992366
a,5,1001,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.146787199
i,6,702.2,Orchis ustulata,ZDensityHymenopteraTOTAL,0.147937548
n,2,1405.5,Polygala alpestris,ZDensityHymenopteraTOTAL,0.150089339
a,2,984.9,Campanula sp#,ZDensityHymenopteraTOTAL,0.151295889
a,2,984.9,Hypericum sp#,ZDensityHymenopteraTOTAL,0.151295889
n,4,1420,Epilobium sp#,ZDensityHymenopteraTOTAL,0.153561434
n,1,1390.3,Apiaceae sp#,ZDensityHymenopteraTOTAL,0.156811799
a,4,1002.8,Cerastium sp#,ZDensityHymenopteraTOTAL,0.156890671
